72,73,1.0
71,99,0.9
30,26,0.7
53,52,0.9
64,83,0.7
64,93,0.5
2,16,0.4
92,66,0.8
64,61,0.5
15,8,0.8
10,6,0.5
78,62,0.2
70,65,0.7
36,37,0.5
64,67,0.8
50,28,0.6
95,63,0.3
41,33,0.2
55,54,0.6
96,90,0.8
57,51,0.3
76,74,0.3
12,15,0.3
80,90,0.9
44,41,0.3
80,91,0.3
79,84,0.9
6,17,0.5
97,63,0.3
25,44,1.0
28,37,0.7
92,69,0.7
83,67,1.0
81,87,0.4
74,93,0.5
34,38,0.2
13,12,0.3
32,49,0.1
55,56,0.5
45,37,1.0
59,57,0.7
46,49,0.4
55,51,0.4
42,28,0.7
84,100,0.1
1,16,0.2
67,93,0.9
83,87,1.0
98,91,0.8
72,91,0.0
4,3,0.9
33,35,0.9
11,19,0.2
55,59,0.5
3,11,0.3
37,50,0.0
91,100,0.7
29,33,0.3
26,22,0.0
46,42,0.6
78,75,0.4
1,12,0.3
82,66,0.3
37,43,0.6
17,19,0.8
58,54,0.0
46,24,0.8
40,35,0.8
65,87,0.8
2,19,0.8
94,93,0.8
97,71,0.8
85,91,0.5
75,67,0.5
33,42,0.4
13,3,0.3
15,17,0.6
58,51,0.6
90,100,0.8
49,22,0.6
10,15,0.8
18,12,0.6
17,9,0.3
73,77,0.3
79,96,0.6
34,48,0.7
16,6,0.6
99,78,0.8
55,53,0.7
52,54,0.4
36,23,0.8
60,59,0.5
55,52,0.1
11,5,0.3
71,63,0.2
35,25,0.1
66,64,0.6
84,86,0.4
21,50,0.8
57,58,0.0
30,25,0.1
81,65,0.1
48,35,0.8
13,17,0.5
52,56,0.8
23,42,1.0
57,55,0.3
70,97,0.5
16,9,0.9
39,22,0.0
86,91,0.4
85,98,0.4
21,24,0.8
96,86,0.7
95,64,0.8
89,75,0.3
60,58,0.1
96,63,0.1
93,79,0.0
94,79,0.5
77,100,1.0
67,80,0.1
40,33,0.5
87,77,0.7
27,35,0.5
75,88,0.9
34,49,0.9
52,57,0.9
38,30,0.9
97,92,0.0
75,70,0.9
4,9,0.8
81,84,0.7
22,43,0.9
21,40,0.6
89,88,0.5
90,99,0.4
26,46,0.6
39,23,0.1
72,98,0.5
4,18,0.6
49,27,0.6
97,65,0.7
53,54,0.5
10,11,0.4
94,95,0.1
76,98,0.1
61,77,0.7
32,35,0.9
25,37,0.6
47,29,0.9
45,35,0.1
92,90,0.3
60,56,0.4
11,16,0.5
31,33,0.7
14,1,0.2
93,69,0.0
36,31,0.5
20,18,0.1
60,54,0.3
64,96,0.8
73,79,0.7
82,83,0.2
13,5,0.6
39,21,0.3
27,41,0.7
2,17,0.4
30,50,0.7
47,38,0.7
84,61,0.1
18,7,0.6
14,18,0.9
49,48,0.9
39,42,0.4
65,68,0.7
80,66,0.2
36,24,0.5
97,73,0.7
71,65,0.3
26,41,0.6
26,50,0.4
86,100,0.2
8,16,0.2
20,11,0.6
47,27,1.0
88,100,0.5
91,88,0.6
26,39,0.9
95,99,0.6
87,68,0.0
45,33,0.0
88,73,0.2
29,36,0.3
27,43,0.8
23,31,0.3
7,15,0.5
69,97,0.6
96,93,0.5
85,77,0.5
48,21,0.1
11,8,0.4
62,89,0.1
88,92,0.2
76,70,0.3
67,68,0.0
2,14,0.0
24,32,0.7
66,100,0.9
99,68,0.5
86,72,0.9
59,53,0.1
98,69,0.2
58,53,0.7
39,44,0.4
79,77,0.4
35,49,0.8
66,94,0.2
22,47,0.4
77,82,0.6
27,36,0.8
65,62,0.9
95,74,0.1
19,3,0.0
95,62,0.2
74,69,0.2
46,41,0.5
95,75,0.4
30,40,0.1
33,34,0.8
41,21,1.0
43,35,0.6
39,30,0.3
27,26,0.3
75,76,0.6
94,99,0.2
23,29,0.9
5,17,0.2
54,51,0.7
68,80,0.9
42,24,0.6
95,70,0.5
97,86,0.5
68,75,0.3
29,24,0.7
34,32,0.0
85,69,0.3
44,33,0.4
40,49,0.2
67,62,0.8
8,4,0.1
90,83,0.2
12,10,0.5
24,38,0.5
24,31,0.3
1,5,0.1
72,97,0.5
39,48,0.4
70,78,0.4
2,8,0.7
64,63,0.3
73,76,0.1
91,61,0.5
9,8,0.6
42,35,0.9
77,72,0.7
