0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.4792,0.4526,0.8008,0.5944,0.0014,0.5962,0.8717,0.6308,0.7832,0.2344,0.1377,0.4472,0.3237,0.2372,0.1693,0.9147,0.969,0.4526,0.4258,0.6
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.4792,0.4526,0.8008,0.5944,0.0014,0.5962,0.8717,0.6308,0.7832,0.2344,0.1377,0.4472,0.3237,0.2372,0.1693,0.9147,0.969,0.4526,0.4258,0.6
0.516,0.1875,0.6623,0.8564,0.3885,0.2475,0.6834,0.3844,0.0139,0.467,0.9894,0.2315,0.5434,0.7492,0.0173,0.0486,0.1687,0.3611,0.932,0.0
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.4792,0.4526,0.8008,0.5944,0.0014,0.5962,0.8717,0.6308,0.7832,0.2344,0.1377,0.4472,0.3237,0.2372,0.1693,0.9147,0.969,0.4526,0.4258,0.6
0.516,0.1875,0.6623,0.8564,0.3885,0.2475,0.6834,0.3844,0.0139,0.467,0.9894,0.2315,0.5434,0.7492,0.0173,0.0486,0.1687,0.3611,0.932,0.0
0.744,0.3736,0.0356,0.6917,0.7523,0.84,0.2037,0.4563,0.9717,0.5384,0.0841,0.0803,0.396,0.6979,0.9665,0.8339,0.454,0.7787,0.1786,0.1
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.4792,0.4526,0.8008,0.5944,0.0014,0.5962,0.8717,0.6308,0.7832,0.2344,0.1377,0.4472,0.3237,0.2372,0.1693,0.9147,0.969,0.4526,0.4258,0.6
0.516,0.1875,0.6623,0.8564,0.3885,0.2475,0.6834,0.3844,0.0139,0.467,0.9894,0.2315,0.5434,0.7492,0.0173,0.0486,0.1687,0.3611,0.932,0.0
0.744,0.3736,0.0356,0.6917,0.7523,0.84,0.2037,0.4563,0.9717,0.5384,0.0841,0.0803,0.396,0.6979,0.9665,0.8339,0.454,0.7787,0.1786,0.1
0.0609,0.8776,0.6513,0.0064,0.2528,0.1252,0.9574,0.2949,0.3192,0.1122,0.2425,0.1504,0.4427,0.53,0.9604,0.7155,0.0603,0.8557,0.4109,0.4
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.4792,0.4526,0.8008,0.5944,0.0014,0.5962,0.8717,0.6308,0.7832,0.2344,0.1377,0.4472,0.3237,0.2372,0.1693,0.9147,0.969,0.4526,0.4258,0.6
0.516,0.1875,0.6623,0.8564,0.3885,0.2475,0.6834,0.3844,0.0139,0.467,0.9894,0.2315,0.5434,0.7492,0.0173,0.0486,0.1687,0.3611,0.932,0.0
0.744,0.3736,0.0356,0.6917,0.7523,0.84,0.2037,0.4563,0.9717,0.5384,0.0841,0.0803,0.396,0.6979,0.9665,0.8339,0.454,0.7787,0.1786,0.1
0.0609,0.8776,0.6513,0.0064,0.2528,0.1252,0.9574,0.2949,0.3192,0.1122,0.2425,0.1504,0.4427,0.53,0.9604,0.7155,0.0603,0.8557,0.4109,0.4
0.5977,0.7966,0.6038,0.6382,0.3622,0.3542,0.3515,0.1421,0.3871,0.8324,0.6196,0.4689,0.117,0.3292,0.326,0.4481,0.1223,0.8143,0.1623,0.6
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.4792,0.4526,0.8008,0.5944,0.0014,0.5962,0.8717,0.6308,0.7832,0.2344,0.1377,0.4472,0.3237,0.2372,0.1693,0.9147,0.969,0.4526,0.4258,0.6
0.516,0.1875,0.6623,0.8564,0.3885,0.2475,0.6834,0.3844,0.0139,0.467,0.9894,0.2315,0.5434,0.7492,0.0173,0.0486,0.1687,0.3611,0.932,0.0
0.744,0.3736,0.0356,0.6917,0.7523,0.84,0.2037,0.4563,0.9717,0.5384,0.0841,0.0803,0.396,0.6979,0.9665,0.8339,0.454,0.7787,0.1786,0.1
0.0609,0.8776,0.6513,0.0064,0.2528,0.1252,1.0,0.2949,0.3192,0.1122,0.2425,0.1504,0.4427,0.53,0.9604,0.7155,0.0603,0.8557,0.4109,0.4
0.5977,0.7966,0.6038,0.6382,0.3622,0.3542,0.3515,0.1421,0.3871,0.8324,0.6196,0.4689,0.117,0.3292,0.326,0.4481,0.1223,0.8143,0.1623,0.6
0.273,0.7794,0.0449,0.5843,0.4196,0.1301,0.4241,0.3706,0.6946,0.9401,0.0739,0.9052,0.0546,0.1029,0.9061,0.7737,0.3038,0.2325,0.1379,0.9
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
0.4792,0.4526,0.8008,0.5944,0.0014,0.5962,0.8717,0.6308,0.7832,0.2344,0.1377,0.4472,0.3237,0.2372,0.1693,0.9147,0.969,0.4526,0.4258,0.6
0.516,0.1875,0.6623,0.8564,0.3885,0.2475,0.6834,0.3844,0.0139,0.467,0.9894,0.2315,0.5434,0.7492,0.0173,0.0486,0.1687,0.3611,0.932,0.0
0.744,0.3736,0.0356,0.6917,0.7523,0.84,0.2037,0.4563,0.9717,0.5384,0.0841,0.0803,0.396,0.6979,0.9665,0.8339,0.454,0.7787,0.1786,0.1
0.0609,0.8776,0.6513,0.0064,0.2528,0.1252,0.9574,0.2949,0.3192,0.1122,0.2425,0.1504,0.4427,0.53,0.9604,0.7155,0.0603,0.8557,0.4109,0.4
0.5977,0.7966,0.6038,0.6382,0.3622,0.3542,0.3515,0.1421,0.3871,0.8324,0.6196,0.4689,0.117,0.3292,0.326,0.4481,0.1223,0.8143,0.1623,0.6
0.273,0.7794,0.0449,0.5843,0.4196,0.1301,0.4241,0.3706,0.6946,0.9401,0.0739,0.9052,0.0546,0.1029,0.9061,0.7737,0.3038,0.2325,0.1379,0.9
0.0941,0.4953,0.9528,0.7164,0.6022,0.9141,0.0437,0.9736,0.0961,0.5589,0.5234,0.022,0.8966,0.8396,0.2775,0.6044,0.5612,0.5818,0.4607,0.1
0.634,0.1071,0.2677,0.6847,0.1748,0.4537,0.9913,0.8308,0.1927,0.59,0.5507,0.9127,0.8015,0.7327,0.0311,0.9494,0.6349,0.0877,0.0205,0.3
